issue_name|description_issue|issue_date|artist|printer|print_type|perforation|paper_type|stamp_type|notes|total_printed_issue|market_value_mnh_issue|market_value_used_issue|edifil_code|fesofi_code|motive|face_value|description_stamp|amount_printed_stamp|color|market_value_mnh_stamp|market_value_used_stamp
Isabel II|La serie de Isabel II de 1851 es la segunda emisión de sellos de España, caracterizada por su impresión tipográfica y ser imperforada. Representa un hito en la filatelia española, consolidando el uso del sello postal en el país.|1851-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie es imperforada. Los valores MNH son extremadamente raros y su valoración se basa en resultados de subastas de piezas excepcionales, a menudo con goma original y sin charnela, lo cual es una rareza para sellos de esta época.||7500.0|750.0|11.0|11.0|Isabel II|10 reales|Isabel II de Borbón fue Reina de España entre 1833 y 1868. Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España en un periodo de gran inestabilidad política. Este sello, emitido el 1 de enero de 1851, forma parte de la segunda serie de sellos postales de España, siguiendo a la histórica emisión de 1850. Fue impreso por la Fábrica Nacional del Sello mediante tipografía y grabado por Bartolomé Coromina. Al igual que todos los sellos de esta época, carece de perforación, siendo necesario recortarlos con tijeras. La serie de 1851 es fundamental para la filatelia española, marcando la consolidación del servicio postal.|15898.0|verde|1125.0|187.5
Isabel II|Emisión de sellos de correo ordinario de España de 1852, la segunda serie de la reina Isabel II. Esta serie es notable por ser la primera en incluir el valor de 12 cuartos y por su diseño clásico, grabado por Bartolomé Coromina. Todos los sellos de esta emisión son imperforados, característica común en los primeros sellos españoles.|1852-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Correo ordinario|Serie clásica imperforada. Los sellos MNH (Mint Never Hinged) son extremadamente raros y su valoración está sujeta a subasta, dependiendo de la calidad, los márgenes y la frescura del color. La valoración MNH proporcionada es una estimación para un conjunto excepcional, basada en resultados de subastas de piezas individuales de alta calidad.||30000.0|1500.0|12.0|12.0|Isabel II|6 cuartos|Este sello, con un valor facial de 6 cuartos y en color rosa, forma parte de la segunda emisión de sellos de España, dedicada a la Reina Isabel II de Borbón. Isabel II fue Reina de España entre 1833 y 1868, hija de Fernando VII y de María Cristina de Borbón-Dos Sicilias. Asumió el trono en 1833, marcando un periodo crucial en la historia postal española. Emitido el 1 de enero de 1852, este sello fue impreso por la Fábrica Nacional del Sello mediante tipografía y diseñado por Bartolomé Coromina. Como todos los sellos de esta serie, es sin dentar, lo que es característico de las primeras emisiones postales. Su alta tirada lo convierte en uno de los valores más accesibles de la serie, aunque ejemplares en excelente estado o con matasellos de época son muy valorados.|11252886.0|rosa|600.0|15.0
Isabel II|Emisión de sellos de correo ordinario de España de 1852, la segunda serie de la reina Isabel II. Esta serie es notable por ser la primera en incluir el valor de 12 cuartos y por su diseño clásico, grabado por Bartolomé Coromina. Todos los sellos de esta emisión son imperforados, característica común en los primeros sellos españoles.|1852-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Correo ordinario|Serie clásica imperforada. Los sellos MNH (Mint Never Hinged) son extremadamente raros y su valoración está sujeta a subasta, dependiendo de la calidad, los márgenes y la frescura del color. La valoración MNH proporcionada es una estimación para un conjunto excepcional, basada en resultados de subastas de piezas individuales de alta calidad.||30000.0|1500.0|13.0|13.0|Isabel II|12 cuartos|El sello de 12 cuartos en color lila pertenece a la emisión de Isabel II de 1852, una serie fundamental en la filatelia española. Isabel II de Borbón, Reina de España desde 1833 hasta 1868, es la figura central de este diseño, grabado por Bartolomé Coromina. La emisión, fechada el 1 de enero de 1852, fue producida por la Fábrica Nacional del Sello utilizando la técnica de tipografía. Al igual que el resto de la serie, este sello es sin dentar, lo que requiere un corte cuidadoso para su separación. Con una tirada significativamente menor que el valor de 6 cuartos, este sello es más escaso y, por lo tanto, más buscado por los coleccionistas, especialmente en condiciones de conservación óptimas o con matasellos claros y de época.|145014.0|lila|2250.0|75.0
Isabel II|Emisión de sellos de correo ordinario de España de 1852, la segunda serie de la reina Isabel II. Esta serie es notable por ser la primera en incluir el valor de 12 cuartos y por su diseño clásico, grabado por Bartolomé Coromina. Todos los sellos de esta emisión son imperforados, característica común en los primeros sellos españoles.|1852-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Correo ordinario|Serie clásica imperforada. Los sellos MNH (Mint Never Hinged) son extremadamente raros y su valoración está sujeta a subasta, dependiendo de la calidad, los márgenes y la frescura del color. La valoración MNH proporcionada es una estimación para un conjunto excepcional, basada en resultados de subastas de piezas individuales de alta calidad.||30000.0|1500.0|14.0|14.0|Isabel II|2 reales|Este sello de 2 reales, en un distintivo color naranja pálido, es una de las piezas clave de la emisión de Isabel II de 1852. La efigie de Isabel II de Borbón, Reina de España entre 1833 y 1868, domina el diseño, obra del grabador Bartolomé Coromina. Emitido el 1 de enero de 1852 y producido por la Fábrica Nacional del Sello mediante tipografía, este sello es, como toda la serie, sin dentar. Su característica más notable es su extremadamente baja tirada de solo 3.394 ejemplares, lo que lo convierte en uno de los sellos más raros y valiosos de la filatelia clásica española. Ejemplares bien conservados, especialmente con márgenes amplios y matasellos ligeros, alcanzan precios muy elevados en el mercado de subastas.|3394.0|naranja pálido|11250.0|1500.0
Isabel II|Emisión de sellos de correo ordinario de España de 1852, la segunda serie de la reina Isabel II. Esta serie es notable por ser la primera en incluir el valor de 12 cuartos y por su diseño clásico, grabado por Bartolomé Coromina. Todos los sellos de esta emisión son imperforados, característica común en los primeros sellos españoles.|1852-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Correo ordinario|Serie clásica imperforada. Los sellos MNH (Mint Never Hinged) son extremadamente raros y su valoración está sujeta a subasta, dependiendo de la calidad, los márgenes y la frescura del color. La valoración MNH proporcionada es una estimación para un conjunto excepcional, basada en resultados de subastas de piezas individuales de alta calidad.||30000.0|1500.0|15.0|15.0|Isabel II|5 reales|El sello de 5 reales en color verde forma parte de la prestigiosa emisión de Isabel II de 1852, una serie esencial para cualquier coleccionista de filatelia española. La imagen de Isabel II de Borbón, Reina de España desde 1833, es el motivo central, grabado por Bartolomé Coromina. Este sello, emitido el 1 de enero de 1852, fue impreso por la Fábrica Nacional del Sello utilizando la técnica de tipografía y, al igual que el resto de la serie, es sin dentar. Con una tirada de 79.484 ejemplares, es un valor intermedio en cuanto a escasez dentro de la serie, siendo considerablemente más raro que los valores bajos pero más común que el escaso 2 reales. Su valor es significativo, especialmente para ejemplares con buena conservación y matasellos de época.|79484.0|verde|4500.0|187.5
Isabel II|Emisión de sellos de correo ordinario de España de 1852, la segunda serie de la reina Isabel II. Esta serie es notable por ser la primera en incluir el valor de 12 cuartos y por su diseño clásico, grabado por Bartolomé Coromina. Todos los sellos de esta emisión son imperforados, característica común en los primeros sellos españoles.|1852-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Correo ordinario|Serie clásica imperforada. Los sellos MNH (Mint Never Hinged) son extremadamente raros y su valoración está sujeta a subasta, dependiendo de la calidad, los márgenes y la frescura del color. La valoración MNH proporcionada es una estimación para un conjunto excepcional, basada en resultados de subastas de piezas individuales de alta calidad.||30000.0|1500.0|16.0|16.0|Retrato de Isabel II|6 reales|Isabel II de Borbón, Reina de España entre 1833 y 1868, es la figura central de este sello clásico de 6 reales en color azul verdoso, emitido el 1 de enero de 1852. Este ejemplar, Edifil 16, forma parte de la segunda serie de sellos de España y es una pieza fundamental de la filatelia española. Fue grabado por Bartolomé Coromina y producido mediante tipografía por la Fábrica Nacional del Sello. Su baja tirada de 21.665 ejemplares y su antigüedad lo convierten en un sello muy buscado. Los ejemplares sin charnela (MNH) son extremadamente raros y su valor es significativamente superior, requiriendo certificación para su autenticidad y estado.|21665.0|azul verdoso|6000.0|225.0
Isabel II|Emisión de sellos de correo ordinario de España, con la efigie de la Reina Isabel II, emitida el 1 de enero de 1853. Esta serie, impresa en tipografía y sin dentar, es una de las emisiones clásicas más emblemáticas de España.|1853-01-01|José Pérez Varela|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie de Isabel II de 1853 es una emisión clásica de España, caracterizada por su impresión tipográfica y la ausencia de dentado. La serie completa consta de siete valores (1, 2, 3, 4, 5, 6 y 12 cuartos). Los ejemplares MNH son de extrema rareza y su valor es puramente de subasta, siendo casi imposibles de encontrar como serie completa.||37500.0|375.0|17.0|17.0|Isabel II|6 cuartos|Este es un sello clásico de la emisión de 1853, presentando un retrato finamente grabado de la Reina Isabel II. La denominación de 6 cuartos era una tarifa postal común para cartas ordinarias dentro de España. Impresos en tipografía por la Fábrica Nacional del Sello, estos sellos son sin dentar, una característica de las primeras emisiones españolas. El color rosa es distintivo para este valor. A pesar de una tirada relativamente alta para la época, los ejemplares bien centrados y en buen estado son muy buscados. La emisión es notable por su elegante diseño de José Pérez Varela. Isabel II de Borbón fue Reina de España entre 1833 y 1868. Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España.|12768942.0|rosa|187.5|15.0
Isabel II|Emisión de sellos de correo ordinario de España, con la efigie de la Reina Isabel II, emitida el 1 de enero de 1853. Esta serie, impresa en tipografía y sin dentar, es una de las emisiones clásicas más emblemáticas de España.|1853-01-01|José Pérez Varela|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie de Isabel II de 1853 es una emisión clásica de España, caracterizada por su impresión tipográfica y la ausencia de dentado. La serie completa consta de siete valores (1, 2, 3, 4, 5, 6 y 12 cuartos). Los ejemplares MNH son de extrema rareza y su valor es puramente de subasta, siendo casi imposibles de encontrar como serie completa.||37500.0|375.0|18.0|18.0|Isabel II|12 cuartos|Este sello, parte de la serie de Isabel II de 1853, presenta el retrato de la monarca y fue emitido con un valor facial de 12 cuartos. Su distintivo color violeta lo hace fácilmente identificable. Al igual que el resto de la serie, fue impreso tipográficamente por la Fábrica Nacional del Sello y es sin dentar. Con una tirada significativamente menor en comparación con el valor de 6 cuartos, este sello es más escaso, especialmente en buen estado usado. Representaba una tarifa postal más alta para el período. El diseño se atribuye a José Pérez Varela. Isabel II de Borbón fue Reina de España entre 1833 y 1868. Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España.|151799.0|violeta|900.0|150.0
Isabel II|Emisión de sellos de correo ordinario de España, con la efigie de la Reina Isabel II, emitida el 1 de enero de 1853. Esta serie, impresa en tipografía y sin dentar, es una de las emisiones clásicas más emblemáticas de España.|1853-01-01|José Pérez Varela|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie de Isabel II de 1853 es una emisión clásica de España, caracterizada por su impresión tipográfica y la ausencia de dentado. La serie completa consta de siete valores (1, 2, 3, 4, 5, 6 y 12 cuartos). Los ejemplares MNH son de extrema rareza y su valor es puramente de subasta, siendo casi imposibles de encontrar como serie completa.||37500.0|375.0|19.0|19.0|Isabel II|2 reales|Este sello de 2 reales de la serie de Isabel II de 1853 es una de las principales rarezas de la filatelia española debido a su tirada extremadamente baja de solo 3.875 ejemplares. Su llamativo color bermellón lo distingue. Como en toda la serie, presenta el retrato de la Reina Isabel II, fue impreso tipográficamente por la Fábrica Nacional del Sello y es sin dentar. Esta denominación de alto valor se utilizaba para correo más pesado o internacional. Encontrar este sello en cualquier condición es un logro significativo, y los ejemplares bien conservados, especialmente usados con matasellos claros, alcanzan precios muy elevados en subasta. El diseño es de José Pérez Varela. Isabel II de Borbón fue Reina de España entre 1833 y 1868. Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España.|3875.0|bermellón|45000.0|9000.0
Isabel II|Emisión de sellos de correo ordinario de España, con la efigie de la Reina Isabel II, emitida el 1 de enero de 1853. Esta serie, impresa en tipografía y sin dentar, es una de las emisiones clásicas más emblemáticas de España.|1853-01-01|José Pérez Varela|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie de Isabel II de 1853 es una emisión clásica de España, caracterizada por su impresión tipográfica y la ausencia de dentado. La serie completa consta de siete valores (1, 2, 3, 4, 5, 6 y 12 cuartos). Los ejemplares MNH son de extrema rareza y su valor es puramente de subasta, siendo casi imposibles de encontrar como serie completa.||37500.0|375.0|20.0|20.0|Isabel II|5 reales|Este sello de 5 reales, parte de la serie de Isabel II de 1853, es otro valor significativo, caracterizado por su color verde. Presenta el clásico retrato de la Reina Isabel II, grabado por José Pérez Varela. Al igual que los demás sellos de esta emisión, fue impreso tipográficamente por la Fábrica Nacional del Sello y es sin dentar. Con una tirada de 67.553 ejemplares, es considerablemente más escaso que los valores inferiores, pero más accesible que el de 2 reales. Esta denominación estaba destinada a tarifas postales más altas, como la correspondencia internacional. Los ejemplares usados en buen estado son muy valorados por los coleccionistas. Isabel II de Borbón fue Reina de España entre 1833 y 1868. Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España.|67553.0|verde|1875.0|450.0
Isabel II|Emisión de sellos de correo ordinario de España, con la efigie de la Reina Isabel II, emitida el 1 de enero de 1853. Esta serie, impresa en tipografía y sin dentar, es una de las emisiones clásicas más emblemáticas de España.|1853-01-01|José Pérez Varela|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||Sello|Esta serie de Isabel II de 1853 es una emisión clásica de España, caracterizada por su impresión tipográfica y la ausencia de dentado. La serie completa consta de siete valores (1, 2, 3, 4, 5, 6 y 12 cuartos). Los ejemplares MNH son de extrema rareza y su valor es puramente de subasta, siendo casi imposibles de encontrar como serie completa.||37500.0|375.0|21.0|21.0|Isabel II|6 reales|Isabel II de Borbón, fue Reina de España entre 1833 y 1868. Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España. Este sello, con un valor facial de 6 reales en color azul, forma parte de la emisión de 1853, la primera serie de sellos de España impresa por la Fábrica Nacional del Sello mediante el sistema de tipografía. El diseño presenta un perfil clásico de la Reina Isabel II. Dada su antigüedad y la época de emisión, estos sellos son muy valorados por los coleccionistas, especialmente en buenas condiciones de conservación y con matasellos claros. La ausencia de dentado es característica de los sellos españoles de este periodo, hasta 1862.|13900.0|azul|900.0|135.0
Escudo de Madrid|La emisión de sellos de 1853, conocida como 'Escudo de Madrid', es una serie fundamental en la filatelia clásica española. Emitida el 1 de enero de 1853, esta serie presenta el icónico escudo de la capital, con el oso y el madroño, símbolos arraigados en la historia y la heráldica de Madrid. Estos sellos, producidos mediante tipografía y sin perforar, continuaron la tradición de las primeras emisiones españolas, sirviendo como franqueo definitivo para el correo del Reino. El motivo del oso y el madroño evoca la riqueza natural de la región en la Edad Media y las disputas históricas por los recursos forestales. La serie es altamente valorada por los coleccionistas por su antigüedad, su significado histórico y la dificultad de encontrar ejemplares bien centrados y en buen estado debido a su naturaleza imperforada.|1853-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||sello|Esta serie, al ser imperforada, presenta variaciones significativas en el centrado. Ejemplares bien centrados y con márgenes amplios son considerablemente más valiosos. La autenticidad y el estado de conservación son cruciales para la valoración, especialmente para los ejemplares sin charnela (MNH), que son extremadamente raros y requieren certificación.|285770.0|1012.5|30.38|22.0|22.0|Escudo de Madrid|1 cuarto|El sello de 1853 con el Escudo de Madrid, que representa un oso apoyado en un madroño, es un emblema histórico de la capital española. Este diseño se remonta a la Edad Media, cuando la abundancia de osos y madroños en los bosques circundantes a Madrid llevó a su incorporación en el escudo de la villa. La disputa por los derechos sobre los bosques entre el clero y el concejo de Madrid en el siglo XIII culminó con un acuerdo que asignó los árboles al concejo y los osos al clero, pero el símbolo conjunto perduró. Este sello, emitido sin perforar y mediante tipografía, es un testimonio de los primeros años de la filatelia española y es muy valorado por su significado histórico y su antigüedad.|250750.0|bronce|375.0|7.5
Escudo de Madrid|La emisión de sellos de 1853, conocida como 'Escudo de Madrid', es una serie fundamental en la filatelia clásica española. Emitida el 1 de enero de 1853, esta serie presenta el icónico escudo de la capital, con el oso y el madroño, símbolos arraigados en la historia y la heráldica de Madrid. Estos sellos, producidos mediante tipografía y sin perforar, continuaron la tradición de las primeras emisiones españolas, sirviendo como franqueo definitivo para el correo del Reino. El motivo del oso y el madroño evoca la riqueza natural de la región en la Edad Media y las disputas históricas por los recursos forestales. La serie es altamente valorada por los coleccionistas por su antigüedad, su significado histórico y la dificultad de encontrar ejemplares bien centrados y en buen estado debido a su naturaleza imperforada.|1853-01-01|Bartolomé Coromina|Fábrica Nacional de Moneda y Timbre|Tipografía|Imperforado||sello|Esta serie, al ser imperforada, presenta variaciones significativas en el centrado. Ejemplares bien centrados y con márgenes amplios son considerablemente más valiosos. La autenticidad y el estado de conservación son cruciales para la valoración, especialmente para los ejemplares sin charnela (MNH), que son extremadamente raros y requieren certificación.|285770.0|1012.5|30.38|23.0|23.0|Escudo de Madrid|3 cuartos|El sello de 1853 con el Escudo de Madrid, que representa un oso apoyado en un madroño, es un emblema histórico de la capital española. Este diseño se remonta a la Edad Media, cuando la abundancia de osos y madroños en los bosques circundantes a Madrid llevó a su incorporación en el escudo de la villa. La disputa por los derechos sobre los bosques entre el clero y el concejo de Madrid en el siglo XIII culminó con un acuerdo que asignó los árboles al concejo y los osos al clero, pero el símbolo conjunto perduró. Este sello, emitido sin perforar y mediante tipografía, es un testimonio de los primeros años de la filatelia española y es muy valorado por su significado histórico y su antigüedad.|35020.0|bronce|750.0|26.25
