issue_year|issue_date|fesofi_code|edifil_code|issue_name|stamp_name|stamp_face_value|stamp_size|stamp_color|stamp_perforation|stamp_artist|stamp_print_type|stamp_printer|stamp_amount_printed|number_of_stamps_in_issue|issue_description
1851|1851/01/01|0011|11|Isabel II|Isabel II|10 reales|19 x 23 mm|verde|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|15.898|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1852|1852/01/01|0012|12|Isabel II|Isabel II|6 cuartos|20 x 24 mm|rosa|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|11.252.886|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1852|1852/01/01|0013|13|Isabel II|Isabel II|12 cuartos|20 x 24 mm|lila|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|145.014|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1852|1852/01/01|0014|14|Isabel II|Isabel II|2 reales|20 x 24 mm|naranja pálido|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|3.394|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1852|1852/01/01|0015|15|Isabel II|Isabel II|5 reales|20 x 24 mm|verde|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|79.484|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1852|1852/01/01|0016|16|Isabel II|n/a|6 reales|20 x 24 mm|azul verdoso|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|21.665|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1853|1853/01/01|0017|17|Isabel II|Isabel II|6 cuartos|20 x 24 mm|rosa|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|12.768.942|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1853|1853/01/01|0018|18|Isabel II|Isabel II|12 cuartos|20 x 24 mm|violeta|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|151.799|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1853|1853/01/01|0019|19|Isabel II|Isabel II|2 reales|20 x 24 mm|bermellón|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|3.875|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1853|1853/01/01|0020|20|Isabel II|Isabel II|5 reales|20 x 24 mm|verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|67.553|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1853|1853/01/01|0021|21|Isabel II|Isabel II|6 reales|20 x 24 mm|azul|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|13.900|5|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1853|1853/01/01|0022|22|Escudo de Madrid|Escudo de Madrid|1 cuarto|20 x 24 mm|bronce|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|250.750|2|El oso es el elemento del que se origina el escudo de Madrid. Parece ser que en la Edad Media los campos de Madrid estaban bien abastecidos de osos y que tal vez por eso lo tomarían como enseña. En algún momento se llamó Ursaria a la zona y hay testimonio escrito de la abundancia de este animal y se habla de ello en crónicas y documentos.
1853|1853/01/01|0023|23|Escudo de Madrid|Escudo de Madrid|3 cuartos|20 x 24 mm|bronce|Sin dentar|Bartolomé Coromina|Tipografía|Fábrica Nacional del Sello|35.020|2|El oso es el elemento del que se origina el escudo de Madrid. Parece ser que en la Edad Media los campos de Madrid estaban bien abastecidos de osos y que tal vez por eso lo tomarían como enseña. En algún momento se llamó Ursaria a la zona y hay testimonio escrito de la abundancia de este animal y se habla de ello en crónicas y documentos.
1854|1854/01/01|0024|24|Escudo de España|Escudo de España|6 cuartos|20 x 24 mm|carmín|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|13.930|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/01/01|0025|25|Escudo de España|Escudo de España|2 reales|20 x 24 mm|rojo|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|78.210|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/01/01|0026|26|Escudo de España|Escudo de España|5 reales|20 x 24 mm|verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|54.827|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/01/01|0027|27|Escudo de España|Escudo de España|6 reales|20 x 24 mm|azul|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|15.394|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/07/01|0028|28|Escudo de España|Escudo de España|1/2 onza|20 x 24 mm|negro s/ amarillo|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|678.000|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/07/01|0029|29|Escudo de España|Escudo de España|1 onza|20 x 24 mm|negro s/ rosa|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|339.111|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/07/01|0030|30|Escudo de España|Escudo de España|4 onzas|20 x 24 mm|negro s/ verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|218.100|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/07/01|0031|31|Escudo de España|Escudo de España|1 libra|20 x 24 mm|negro s/ azul|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|117.000|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/11/01|0032|32|Escudo de España|Escudo de España|2 cuartos|20 x 24 mm|verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|104.889|3|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/11/01|0033|33|Escudo de España|Escudo de España|4 cuartos|20 x 24 mm|carmín|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|8.230|3|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1854|1854/11/01|0034|34|Escudo de España|Escudo de España|1 real|20 x 24 mm|azul oscuro|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|55.083|3|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1855|1855/01/01|0035|35|Escudo de España|Escudo de España|1/2 onza|20 x 24 mm|negro s/ amarillo|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|39.890.600|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1855|1855/01/01|0036|36|Escudo de España|Escudo de España|1 onza|20 x 24 mm|negro s/ rosa|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|30.767.500|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1855|1855/01/01|0037|37|Escudo de España|Escudo de España|4 onzas|20 x 24 mm|negro s/ verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|10.853.500|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1855|1855/01/01|0038|38|Escudo de España|Escudo de España|1 libra|20 x 24 mm|negro s/ azul|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|6.740.200|4|Reinstaurada la dinastía borbónica en 1813, Fernando VII recupera el escudo completo de Carlos III, aunque mantiene la misma forma exterior que se le había dado en la época de José Bonaparte. Su hija, Isabel II, mantiene el mismo modelo, alternando con el ovalado. Con frecuencia se utiliza la versión simplificada con las armas de Castilla, León y Granada y el escusón dinástico.
1855|1855/04/01|0039|39|Isabel II|Isabel II|2 cuartos|20 x 24 mm|verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|3.764.823|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1855|1855/04/01|0040|40|Isabel II|Isabel II|4 cuartos|20 x 24 mm|rojo|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|168.093.486|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1855|1855/04/01|0041|41|Isabel II|Isabel II|1 real|20 x 24 mm|azul verdoso|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|2.418.754|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1855|1855/04/01|0042|42|Isabel II|Isabel II|2 reales|20 x 24 mm|violeta|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|2.101.075|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/01/01|0043|43|Isabel II|Isabel II|2 cuartos|20 x 24 mm|verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|3.764.823|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/01/01|0044|44|Isabel II|Isabel II|4 cuartos|20 x 24 mm|rojo|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|168.093.486|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/01/01|0045|45|Isabel II|Isabel II|1 real|20 x 24 mm|azul verdoso|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|2.418.754|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/01/01|0046|46|Isabel II|Isabel II|2 reales|20 x 24 mm|violeta|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|2.101.075|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/04/11|0047|47|Isabel II|Isabel II|2 cuartos|20 x 24 mm|verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|3.764.823|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/04/11|0048|48|Isabel II|Isabel II|4 cuartos|20 x 24 mm|rojo|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|168.093.486|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/04/11|0049|49|Isabel II|Isabel II|1 real|20 x 24 mm|azul|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|2.418.754|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1856|1856/04/11|0050|50|Isabel II|Isabel II|2 reales|20 x 24 mm|violeta|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|2.101.075|4|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1860|1860/02/01|0051|51|Isabel II|Isabel II|2 cuartos|20 x 24 mm|verde s/ verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|2.160.642|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1860|1860/02/01|0052|52|Isabel II|Isabel II|4 cuartos|20 x 24 mm|naranja s verde|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|94.484.838|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
1860|1860/02/01|0053|53|Isabel II|Isabel II|12 cuartos|20 x 24 mm|carmín|Sin dentar|José Pérez Varela|Tipografía|Fábrica Nacional del Sello|576.860|6|Isabel II de Borbón, fue Reina de España entre 1833 y 1868.Hija de Fernando VII y de su cuarta esposa, su sobrina María Cristina de Borbón-Dos Sicilias, Isabel asumió el trono de España el 29 de septiembre de 1833 después de la muerte de su padre, cuando ella tenía menos de tres años de edad.
